date,sector_index,close
2020-01-01,INDX,21426.53
2020-02-01,INDX,19278.97
2020-03-01,INDX,13915.240000000002
2020-04-01,INDX,15716.730000000001
2020-05-01,INDX,16491.37
2020-06-01,INDX,17898.38
2020-07-01,INDX,19523.91
2020-08-01,INDX,19864.940000000002
2020-09-01,INDX,19513.57
2020-10-01,INDX,19822.5
2020-11-01,INDX,21867.760000000002
2020-12-01,INDX,23390.129999999997
2021-01-01,INDX,23250.39
2021-02-01,INDX,23633.38
2021-03-01,INDX,25049.77
2021-04-01,INDX,25971.629999999997
2021-05-01,INDX,26646.89
2021-06-01,INDX,26626.260000000002
2021-07-01,INDX,26347.27
2021-08-01,INDX,26364.6
2021-09-01,INDX,25686.32
2021-10-01,INDX,24377.75
2021-11-01,INDX,22944.24
2021-12-01,INDX,24323.03
2022-01-01,INDX,23545.18
2022-02-01,INDX,22371.64
2022-03-01,INDX,23744.780000000002
2022-04-01,INDX,21346.07
2022-05-01,INDX,21258.780000000002
2022-06-01,INDX,18875.38
2022-07-01,INDX,19882.69
2022-08-01,INDX,19740.3
2022-09-01,INDX,19543.69
2022-10-01,INDX,21269.260000000002
2022-11-01,INDX,20820.16
2022-12-01,INDX,20032.940000000002
2023-01-01,INDX,20286.1
2023-02-01,INDX,19487.67
2023-03-01,INDX,19194.87
2023-04-01,INDX,19042.75
2023-05-01,INDX,19786.43
2023-06-01,INDX,20775.3
2023-07-01,INDX,21902.71
2023-08-01,INDX,20628.58
2023-09-01,INDX,20391.45
2023-10-01,INDX,19243.480000000003
2023-11-01,INDX,21420.460000000003
2023-12-01,INDX,22699.649999999998
2024-01-01,INDX,21172.85
2024-02-01,INDX,22083.56
2024-03-01,INDX,23333.109999999997
2024-04-01,INDX,22554.629999999997
2024-05-01,INDX,22170.02
2024-06-01,INDX,23501.85
2024-07-01,INDX,24543.1
2024-08-01,INDX,26160.35
2024-09-01,INDX,25888.12
2024-10-01,INDX,26282.440000000002
2024-11-01,INDX,27020.8
2024-12-01,INDX,25991.64
